Date,Station Id,Station Name,Outflow,Inflow,Netflow
2024-02-01,1.0,Pierce St & Summerlea St,4.0,2.0,-2.0
2024-02-01,2.0,Eliza Furnace Trail & Swineburne St,6.0,5.0,-1.0
2024-02-01,4.0,Burns White Center at 3 Crossings,6.0,8.0,2.0
2024-02-01,5.0,Allegheny Station,2.0,1.0,-1.0
2024-02-01,6.0,10th St & Penn Ave,8.0,8.0,0.0
2024-02-01,7.0,Liberty Ave & Gross St,7.0,7.0,0.0
2024-02-01,8.0,Glasshouse,1.0,4.0,3.0
2024-02-01,9.0,South Side Trail & S 4th St,4.0,3.0,-1.0
2024-02-01,10.0,Zulema St & Coltart Ave,49.0,48.0,-1.0
2024-02-01,11.0,Ellsworth Ave & N Neville St,10.0,8.0,-2.0
2024-02-01,12.0,O'Hara St and University Place,58.0,72.0,14.0
2024-02-01,13.0,S Bouquet Ave & Sennott St,108.0,117.0,9.0
2024-02-01,14.0,Tioga St & N Homewood Ave,1.0,0.0,-1.0
2024-02-01,15.0,Ivy St & Walnut St,17.0,17.0,0.0
2024-02-01,16.0,Penn Ave & Putnam St (Bakery Square),9.0,10.0,1.0
2024-02-01,17.0,Taylor St & Liberty Ave,4.0,7.0,3.0
2024-02-01,18.0,21st St & Penn Ave,5.0,3.0,-2.0
2024-02-01,19.0,42nd St & Butler St,3.0,7.0,4.0
2024-02-01,20.0,Boulevard of the Allies & Parkview Ave,81.0,62.0,-19.0
2024-02-01,21.0,Liberty Ave & Stanwix St,2.0,5.0,3.0
2024-02-01,22.0,Forbes Ave & Market Square,8.0,4.0,-4.0
2024-02-01,23.0,North Shore Trail & Fort Duquesne Bridge,2.0,3.0,1.0
2024-02-01,24.0,Penn Ave & 33rd St,8.0,6.0,-2.0
2024-02-01,25.0,Penn Ave & S Whitfield St,5.0,7.0,2.0
2024-02-01,26.0,S 27th St & Sidney St. (Southside Works),21.0,21.0,0.0
2024-02-01,27.0,W Station Square Dr & Bessemer Court,1.0,0.0,-1.0
2024-02-01,28.0,Fifth Ave & S Bouquet St,43.0,41.0,-2.0
2024-02-01,29.0,Forbes Ave & Schenley Dr,79.0,89.0,10.0
2024-02-01,30.0,Shady Ave & Ellsworth Ave,8.0,13.0,5.0
2024-02-01,31.0,First Ave & B St,5.0,6.0,1.0
2024-02-01,32.0,Ross St & Fourth Ave,8.0,4.0,-4.0
2024-02-01,33.0,Schenley Dr & Schenley Dr Ext,18.0,17.0,-1.0
2024-02-01,34.0,N Dithridge St & Centre Ave,67.0,60.0,-7.0
2024-02-01,35.0,Butler St & 36th St,3.0,0.0,-3.0
2024-02-01,36.0,Penn Ave & S Pacific Ave,4.0,5.0,1.0
2024-02-01,37.0,S Negley Ave & Centre Ave,8.0,10.0,2.0
2024-02-01,38.0,Allequippa St & Darragh St,43.0,30.0,-13.0
2024-02-01,39.0,S 12th St & E Carson St,6.0,4.0,-2.0
2024-02-01,40.0,7th St & Penn Ave,8.0,5.0,-3.0
2024-02-01,41.0,S 22nd St & Sidney St,8.0,8.0,0.0
2024-02-01,42.0,Second Ave & Tecumseh St,2.0,0.0,-2.0
2024-02-01,43.0,Eliza St & Lytle St,1.0,1.0,0.0
2024-02-01,46.0,N Braddock Ave & Frankstown Ave,1.0,2.0,1.0
2024-02-01,47.0,17th St & Penn Ave,4.0,7.0,3.0
2024-02-01,48.0,S Millvale Ave & Centre Ave,15.0,20.0,5.0
2024-02-01,49.0,Technology Dr & Bates St,15.0,15.0,0.0
2024-02-01,50.0,Atwood St & Bates St,69.0,68.0,-1.0
2024-02-01,51.0,Coltart Ave & Forbes Ave,41.0,41.0,0.0
2024-02-01,52.0,Bedford Ave & Memory Ln,1.0,1.0,0.0
2024-02-01,53.0,Centre Ave & Heldman St,2.0,1.0,-1.0
2024-02-01,54.0,W Ohio St & Brighton Rd,3.0,5.0,2.0
2024-02-01,55.0,Brighton Rd & Pennsylvania Ave,1.0,2.0,1.0
2024-02-01,56.0,Rosetta St & N Aiken Ave,1.0,0.0,-1.0
2024-02-01,57.0,52nd St & Butler St,3.0,5.0,2.0
2024-02-01,58.0,W North Ave & Federal St,7.0,6.0,-1.0
2024-02-01,59.0,Forbes Ave at TCS Hall (CMU Campus),21.0,20.0,-1.0
2024-02-01,60.0,Wilkinsburg Park & Ride,1.0,1.0,0.0
2024-02-02,1.0,Pierce St & Summerlea St,3.0,10.0,7.0
2024-02-02,2.0,Eliza Furnace Trail & Swineburne St,4.0,2.0,-2.0
2024-02-02,4.0,Burns White Center at 3 Crossings,5.0,6.0,1.0
2024-02-02,6.0,10th St & Penn Ave,7.0,9.0,2.0
2024-02-02,7.0,Liberty Ave & Gross St,4.0,2.0,-2.0
2024-02-02,8.0,Glasshouse,1.0,2.0,1.0
2024-02-02,9.0,South Side Trail & S 4th St,4.0,3.0,-1.0
2024-02-02,10.0,Zulema St & Coltart Ave,37.0,34.0,-3.0
2024-02-02,11.0,Ellsworth Ave & N Neville St,9.0,14.0,5.0
2024-02-02,12.0,O'Hara St and University Place,48.0,64.0,16.0
2024-02-02,13.0,S Bouquet Ave & Sennott St,90.0,99.0,9.0
2024-02-02,15.0,Ivy St & Walnut St,14.0,18.0,4.0
2024-02-02,16.0,Penn Ave & Putnam St (Bakery Square),3.0,3.0,0.0
2024-02-02,17.0,Taylor St & Liberty Ave,5.0,4.0,-1.0
2024-02-02,18.0,21st St & Penn Ave,2.0,2.0,0.0
2024-02-02,19.0,42nd St & Butler St,7.0,9.0,2.0
2024-02-02,20.0,Boulevard of the Allies & Parkview Ave,78.0,54.0,-24.0
2024-02-02,21.0,Liberty Ave & Stanwix St,1.0,1.0,0.0
2024-02-02,22.0,Forbes Ave & Market Square,4.0,5.0,1.0
2024-02-02,23.0,North Shore Trail & Fort Duquesne Bridge,1.0,1.0,0.0
2024-02-02,24.0,Penn Ave & 33rd St,3.0,4.0,1.0
2024-02-02,25.0,Penn Ave & S Whitfield St,5.0,6.0,1.0
2024-02-02,26.0,S 27th St & Sidney St. (Southside Works),8.0,10.0,2.0
2024-02-02,27.0,W Station Square Dr & Bessemer Court,1.0,2.0,1.0
2024-02-02,28.0,Fifth Ave & S Bouquet St,36.0,48.0,12.0
2024-02-02,29.0,Forbes Ave & Schenley Dr,61.0,78.0,17.0
2024-02-02,30.0,Shady Ave & Ellsworth Ave,6.0,5.0,-1.0
2024-02-02,31.0,First Ave & B St,1.0,1.0,0.0
2024-02-02,32.0,Ross St & Fourth Ave,2.0,2.0,0.0
2024-02-02,33.0,Schenley Dr & Schenley Dr Ext,19.0,16.0,-3.0
2024-02-02,34.0,N Dithridge St & Centre Ave,59.0,47.0,-12.0
2024-02-02,36.0,Penn Ave & S Pacific Ave,4.0,7.0,3.0
2024-02-02,37.0,S Negley Ave & Centre Ave,6.0,6.0,0.0
2024-02-02,38.0,Allequippa St & Darragh St,45.0,22.0,-23.0
2024-02-02,39.0,S 12th St & E Carson St,3.0,3.0,0.0
2024-02-02,40.0,7th St & Penn Ave,8.0,7.0,-1.0
2024-02-02,41.0,S 22nd St & Sidney St,4.0,3.0,-1.0
2024-02-02,47.0,17th St & Penn Ave,2.0,1.0,-1.0
2024-02-02,48.0,S Millvale Ave & Centre Ave,22.0,23.0,1.0
2024-02-02,49.0,Technology Dr & Bates St,10.0,12.0,2.0
2024-02-02,50.0,Atwood St & Bates St,55.0,50.0,-5.0
2024-02-02,51.0,Coltart Ave & Forbes Ave,32.0,26.0,-6.0
2024-02-02,52.0,Bedford Ave & Memory Ln,2.0,0.0,-2.0
2024-02-02,54.0,W Ohio St & Brighton Rd,1.0,0.0,-1.0
2024-02-02,55.0,Brighton Rd & Pennsylvania Ave,0.0,1.0,1.0
2024-02-02,56.0,Rosetta St & N Aiken Ave,0.0,1.0,1.0
2024-02-02,57.0,52nd St & Butler St,4.0,4.0,0.0
2024-02-02,58.0,W North Ave & Federal St,1.0,3.0,2.0
2024-02-02,59.0,Forbes Ave at TCS Hall (CMU Campus),18.0,19.0,1.0
2024-02-03,1.0,Pierce St & Summerlea St,10.0,5.0,-5.0
2024-02-03,2.0,Eliza Furnace Trail & Swineburne St,3.0,2.0,-1.0
2024-02-03,3.0,Centre Ave & Addison St,0.0,1.0,1.0
2024-02-03,4.0,Burns White Center at 3 Crossings,5.0,7.0,2.0
