,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,0.0,3.6,2.95,3.76,5.93,4.61,1.06,4.95,4.94,2.64,1.09,1.71,2.03,2.39,0.41,1.09,1.43,4.07,2.54,2.94,5.11,4.74,6.23,2.9,0.93,3.7,4.93,2.0,1.75,0.62,4.33,4.2,2.02,1.56,2.79,1.33,0.36,2.33,4.25,4.73,3.66,4.98,4.49,1.47,2.78,2.2,3.99,1.12,3.05,2.51,2.4,3.08,3.17,6.37,6.66,1.28,3.21,6.02,1.46,2.96
2,3.56,0.0,2.68,3.7,4.84,3.42,3.28,3.43,3.3,1.06,2.32,2.0,1.54,5.12,3.35,4.36,3.49,4.21,4.02,1.19,4.01,4.06,6.41,3.51,4.11,1.07,3.41,1.58,1.89,4.48,2.76,2.81,1.63,2.4,3.63,3.87,3.48,1.74,2.84,3.53,1.6,1.46,1.41,4.49,6.33,5.13,3.92,2.72,0.65,1.31,1.35,2.81,2.85,5.34,5.6,4.46,4.99,4.66,1.97,6.11
3,2.95,2.52,0.0,2.17,2.61,1.39,2.39,1.94,2.45,1.69,2.05,1.93,1.71,4.93,3.04,3.89,2.27,2.18,2.61,1.99,1.74,1.52,3.34,1.98,3.2,1.79,1.92,1.54,2.34,3.57,1.27,1.15,2.29,1.55,2.1,2.98,2.59,0.92,1.99,1.5,1.44,3.9,3.41,4.31,5.38,4.85,1.89,1.83,1.97,1.87,1.45,0.34,0.21,2.59,2.88,3.55,3.34,2.63,2.19,5.64
4,3.31,3.78,2.19,0.0,2.59,1.31,2.42,2.41,3.13,2.82,2.48,2.58,2.94,5.04,3.39,3.9,1.93,0.46,1.62,3.12,2.0,1.84,2.52,0.84,3.22,3.84,2.4,2.6,2.77,3.58,1.89,1.76,2.93,2.19,1.11,2.42,2.93,1.99,2.66,1.53,3.49,5.15,4.66,4.28,5.37,4.84,0.77,2.25,3.23,2.94,2.58,1.95,2.2,2.59,2.88,2.79,2.35,2.23,2.62,5.77
5,6.72,4.78,3.26,2.94,0.0,1.82,5.4,2.11,2.63,4.14,5.11,4.61,4.3,8.02,6.81,6.88,4.91,2.58,4.3,4.44,1.52,1.49,2.39,3.44,6.2,4.0,2.09,4.27,4.68,6.56,1.9,2.03,4.58,4.81,4.39,5.4,6.39,4.31,2.89,1.76,3.57,6.15,5.66,7.26,8.36,7.82,2.35,5.08,4.23,4.5,3.98,3.28,3.04,0.5,0.77,5.77,5.03,0.98,4.77,9.5
6,4.25,3.14,1.3,1.45,1.6,0.0,3.69,1.31,2.02,2.84,3.35,3.23,2.75,6.23,4.34,5.19,3.2,1.1,3.74,3.14,0.8,0.64,2.04,2.88,4.5,2.69,1.29,2.72,3.65,4.87,0.77,0.65,3.03,2.85,3.83,4.83,3.89,2.22,1.55,0.32,2.34,4.51,4.02,5.61,6.68,6.15,0.84,3.13,2.59,3.2,2.43,1.32,1.09,1.6,1.89,5.21,4.47,1.28,3.5,8.48
7,1.06,3.32,2.39,2.29,5.1,3.78,0.0,4.67,4.66,2.36,1.03,1.43,1.75,3.03,1.15,1.87,0.37,2.6,1.12,2.66,4.83,3.91,4.76,1.43,1.19,3.42,4.65,1.72,1.57,1.55,4.05,3.93,1.74,1.0,1.32,0.69,0.68,1.77,3.97,4.7,3.38,4.7,4.21,2.26,3.36,2.83,2.79,0.56,2.77,2.24,2.12,2.51,2.6,4.9,5.19,1.06,2.1,4.55,1.42,3.74
8,5.11,3.65,2.16,2.86,2.16,1.76,4.55,0.0,0.68,3.0,4.21,3.54,3.23,7.1,5.2,6.05,4.19,2.55,5.44,3.3,1.33,1.37,3.74,3.9,5.37,2.17,0.12,3.2,3.61,5.73,0.93,1.05,3.69,3.71,4.03,5.08,4.75,3.24,1.06,1.45,1.74,5.02,4.53,6.47,8.65,7.01,2.26,3.99,3.1,3.36,2.91,2.39,1.95,2.66,2.93,5.45,6.17,2.58,3.7,8.43
9,5.21,3.31,2.26,3.21,2.43,1.66,4.65,0.79,0.0,3.27,4.31,3.67,3.36,7.2,5.3,6.15,4.35,2.9,5.32,3.3,1.59,1.64,4.0,4.06,5.47,1.83,0.77,3.34,3.75,5.83,1.19,1.5,3.65,3.81,4.18,5.24,4.85,3.38,0.72,1.71,1.4,4.68,4.19,6.57,8.43,7.11,2.61,4.09,2.76,3.62,3.05,2.45,2.05,2.93,3.19,5.61,6.05,2.84,3.83,8.22
10,2.61,1.01,1.72,2.75,3.87,2.73,2.33,2.89,3.05,0.0,1.37,1.05,0.59,4.16,2.39,3.41,2.54,3.52,3.06,0.37,3.05,3.09,5.45,2.56,3.16,1.11,2.87,0.63,0.94,3.52,2.24,2.32,0.68,1.45,2.68,2.92,2.53,0.79,2.36,2.84,1.78,2.39,1.9,3.54,4.69,4.18,3.23,1.76,0.46,0.36,0.39,1.85,1.89,4.37,4.64,3.51,4.04,3.97,1.02,5.83
