,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
1,0.0,9.34,6.99,9.18,11.74,10.82,3.27,11.42,12.21,6.38,3.54,4.51,5.26,6.83,1.61,3.33,4.58,10.18,6.64,7.26,10.45,11.02,12.07,6.58,2.66,9.53,11.11,5.4,4.99,2.18,9.48,9.1,5.37,4.31,6.28,3.61,1.39,5.6,10.22,10.96,8.32,12.36,11.14,4.76,7.68,6.24,10.42,2.89,7.52,7.04,6.05,7.86,7.46,12.66,13.65,4.12,8.68,12.72,4.16,9.19
2,10.29,0.0,6.78,10.76,9.97,9.36,9.28,9.56,8.79,3.26,6.88,5.83,4.84,14.04,9.9,11.6,9.92,11.3,11.39,3.77,8.68,9.3,12.28,9.88,10.46,3.7,9.26,5.01,6.08,11.43,7.1,7.21,5.13,7.2,10.12,10.84,9.06,5.15,7.28,9.5,5.54,5.01,4.25,11.98,13.49,13.43,10.5,7.57,2.35,4.39,4.01,7.62,6.87,11.28,11.9,11.93,13.74,12.48,6.43,13.8
3,7.07,6.76,0.0,6.27,6.25,3.87,5.82,5.42,5.84,5.21,4.9,4.44,5.33,12.08,7.26,8.82,6.28,5.81,7.26,6.09,4.5,4.07,7.44,5.39,7.06,4.83,5.11,5.41,5.35,8.04,2.96,2.58,5.48,4.02,5.62,7.38,5.6,3.34,4.33,4.01,3.62,9.78,8.56,10.01,12.84,11.22,5.01,4.1,5.0,6.38,4.88,1.4,0.48,6.17,7.16,8.53,9.34,6.99,4.99,14.45
4,8.82,10.65,6.21,0.0,6.32,4.36,6.58,8.23,9.0,7.69,6.87,6.44,7.49,13.19,9.02,9.72,5.51,1.46,5.09,8.57,6.08,5.89,6.1,2.79,8.01,10.39,7.93,7.74,7.32,8.94,5.91,5.53,7.47,6.16,3.45,5.76,7.41,5.67,7.5,4.6,9.17,13.67,12.45,11.15,13.89,12.27,2.52,6.16,8.83,8.71,7.36,6.11,6.54,6.49,7.48,6.96,7.17,6.55,6.96,15.59
5,13.44,10.98,7.07,7.35,0.0,4.35,10.59,5.1,6.6,8.34,11.15,10.03,9.06,17.19,13.64,13.72,9.51,6.26,8.7,9.25,3.61,3.86,4.49,7.52,12.01,9.91,4.79,9.09,10.35,12.94,3.93,4.36,9.9,11.09,8.16,9.76,12.12,9.03,6.31,4.16,8.79,14.0,12.77,15.15,17.89,16.27,5.49,11.17,9.21,9.75,7.99,7.79,6.59,1.31,1.94,10.96,10.78,2.72,10.7,18.4
6,10.89,8.55,3.83,4.77,3.93,0.0,9.65,5.07,5.94,6.99,8.73,8.27,8.05,15.9,11.09,12.65,8.71,3.68,7.7,7.9,2.8,2.55,4.36,6.52,10.89,7.67,4.77,8.08,9.18,11.86,2.86,2.47,8.9,7.85,7.16,8.76,9.43,7.16,4.44,1.22,6.46,11.58,10.35,13.84,16.67,15.05,3.24,7.93,6.79,8.4,6.98,4.57,3.35,4.26,5.25,9.96,9.78,4.29,8.82,17.73
7,3.36,8.49,5.82,6.16,10.5,9.7,0.0,10.57,11.36,5.53,3.05,3.62,4.42,8.04,3.56,4.71,1.31,7.16,3.59,6.42,9.6,9.89,9.04,3.56,2.96,8.68,10.26,4.55,4.06,3.93,8.63,8.25,4.52,3.14,3.26,1.94,1.97,4.44,9.38,9.39,7.47,11.51,10.29,6.08,8.73,7.12,7.77,1.73,6.67,6.19,5.2,6.69,6.3,9.64,10.62,3.14,5.95,9.7,3.7,10.58
8,12.51,9.42,5.44,8.15,5.39,5.45,11.26,0.0,2.86,7.01,10.34,9.3,8.33,17.52,12.7,14.26,10.56,7.39,11.06,7.92,4.03,4.69,7.71,9.68,12.5,6.43,0.46,8.36,9.62,13.48,3.1,3.53,9.17,9.46,9.91,11.88,11.04,8.3,2.82,5.39,5.3,12.44,11.21,15.46,17.66,16.66,6.59,9.54,7.65,8.42,7.26,6.7,4.96,6.71,7.33,13.08,13.14,8.07,9.97,17.97
9,12.78,8.91,5.71,9.0,6.18,6.24,11.53,3.38,0.0,7.93,10.61,9.94,8.96,17.79,12.97,14.53,11.0,8.24,11.76,8.76,4.81,5.47,8.49,10.11,12.78,5.92,2.98,9.0,10.26,13.74,3.88,4.2,9.81,9.73,10.35,12.32,11.31,8.94,2.32,6.17,4.8,11.93,10.7,15.72,18.48,16.93,7.45,9.81,7.15,9.35,7.89,6.83,5.23,7.49,8.11,13.52,13.84,8.86,10.6,18.79
10,7.32,3.2,3.76,7.79,6.95,6.38,6.32,6.62,7.77,0.0,3.91,2.86,1.86,11.07,6.93,8.63,6.95,8.32,8.42,1.38,5.66,6.29,9.27,6.91,7.49,3.39,6.32,2.04,3.11,8.46,4.72,4.66,2.16,4.23,7.15,7.88,6.08,2.18,5.78,6.52,3.88,6.22,5.0,9.01,11.93,10.46,7.52,4.6,1.38,1.42,1.0,4.61,3.86,8.26,8.88,8.96,10.77,9.5,3.46,12.82
