Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,sin_day_of_week,cos_day_of_week,sin_month,cos_month
2024-02-01,-2.0,-1.0,0.0,2.0,-1.0,0.0,0.0,3.0,-1.0,-1.0,-2.0,14.0,9.0,-1.0,0.0,1.0,3.0,-2.0,4.0,-19.0,3.0,-4.0,1.0,-2.0,2.0,0.0,-1.0,-2.0,0.0,5.0,1.0,-4.0,-1.0,-7.0,-3.0,1.0,2.0,-13.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,-1.0,2.0,1.0,-1.0,2.0,-1.0,-1.0,0.0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2024-02-02,7.0,-2.0,0.0,1.0,0.0,2.0,-2.0,1.0,-1.0,-3.0,5.0,16.0,9.0,0.0,4.0,0.0,-1.0,0.0,2.0,-24.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,-1.0,0.0,0.0,-3.0,-12.0,0.0,3.0,0.0,-23.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,-5.0,-6.0,-2.0,0.0,-1.0,1.0,1.0,0.0,2.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2024-02-03,-5.0,-1.0,1.0,2.0,-2.0,0.0,-1.0,-4.0,-4.0,4.0,6.0,5.0,-4.0,-1.0,-2.0,0.0,1.0,3.0,-2.0,-7.0,3.0,-1.0,4.0,0.0,2.0,8.0,-2.0,-3.0,0.0,-1.0,2.0,-1.0,8.0,-7.0,5.0,-1.0,4.0,-16.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-6.0,-1.0,-6.0,-4.0,1.0,0.0,0.0,-2.0,0.0,-3.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2024-02-04,2.0,-1.0,0.0,-1.0,2.0,2.0,-3.0,-4.0,-2.0,-1.0,-2.0,9.0,4.0,0.0,-3.0,4.0,0.0,0.0,1.0,-3.0,0.0,0.0,2.0,-1.0,4.0,-12.0,1.0,7.0,0.0,-2.0,-1.0,0.0,-2.0,-9.0,-2.0,0.0,0.0,-3.0,2.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,7.0,-1.0,0.0,1.0,0.0,-1.0,-3.0,-1.0,-1.0,0.0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2024-02-05,-1.0,-1.0,-1.0,-1.0,0.0,-7.0,1.0,1.0,-1.0,8.0,-3.0,5.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,5.0,-1.0,2.0,-1.0,3.0,-1.0,-1.0,8.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,0.0,-2.0,0.0,-3.0,-22.0,2.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8.0,-6.0,1.0,1.0,-2.0,1.0,0.0,0.0,-2.0,-1.0,1.0,0.0,1.0,0.8660254037844386,0.5000000000000001
2024-02-06,-6.0,-1.0,1.0,0.0,2.0,-1.0,-2.0,-1.0,0.0,2.0,3.0,9.0,14.0,1.0,4.0,3.0,2.0,-2.0,-2.0,-25.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,-1.0,2.0,0.0,-9.0,-3.0,3.0,1.0,-17.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-3.0,-6.0,8.0,0.0,0.0,-2.0,1.0,-1.0,1.0,4.0,2.0,1.0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2024-02-07,1.0,1.0,-1.0,-2.0,-1.0,1.0,0.0,2.0,0.0,0.0,4.0,8.0,4.0,0.0,1.0,-3.0,2.0,-1.0,0.0,-19.0,0.0,-1.0,4.0,0.0,-1.0,2.0,0.0,3.0,0.0,-2.0,0.0,-5.0,7.0,-10.0,0.0,0.0,-3.0,-6.0,2.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,6.0,2.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2024-02-08,0.0,0.0,2.0,3.0,-3.0,-1.0,-3.0,-2.0,1.0,-2.0,3.0,9.0,2.0,-1.0,3.0,5.0,-6.0,-1.0,4.0,-14.0,-2.0,1.0,1.0,0.0,2.0,1.0,0.0,-1.0,0.0,2.0,-1.0,0.0,-3.0,-3.0,1.0,0.0,4.0,-17.0,3.0,0.0,2.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-1.0,-8.0,1.0,0.0,1.0,1.0,0.0,-2.0,4.0,2.0,1.0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2024-02-09,7.0,-1.0,0.0,-1.0,-1.0,6.0,2.0,2.0,0.0,-7.0,0.0,16.0,2.0,0.0,4.0,-2.0,2.0,3.0,5.0,-19.0,-2.0,-1.0,-2.0,0.0,-1.0,4.0,-1.0,3.0,0.0,3.0,3.0,-3.0,-1.0,-14.0,-2.0,-3.0,7.0,-18.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,-5.0,-6.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,-4.0,-2.0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2024-02-10,-3.0,1.0,1.0,-3.0,1.0,-1.0,-4.0,-1.0,1.0,1.0,-4.0,2.0,3.0,1.0,-2.0,5.0,2.0,-3.0,-5.0,-11.0,4.0,-4.0,1.0,1.0,4.0,3.0,0.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-7.0,1.0,5.0,-1.0,-8.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,4.0,-7.0,-2.0,0.0,0.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2024-02-11,-2.0,-1.0,1.0,1.0,-1.0,1.0,3.0,-2.0,-1.0,9.0,-2.0,2.0,7.0,-1.0,6.0,-3.0,-2.0,0.0,5.0,3.0,5.0,-2.0,-4.0,1.0,4.0,2.0,0.0,15.0,0.0,-3.0,-1.0,2.0,-1.0,-11.0,-1.0,2.0,-3.0,-13.0,-2.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2024-02-12,-2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,-2.0,5.0,-5.0,0.0,2.0,0.0,-1.0,2.0,-1.0,2.0,2.0,4.0,1.0,-1.0,-4.0,3.0,-1.0,-9.0,0.0,2.0,0.0,-3.0,1.0,9.0,3.0,0.0,-2.0,-13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,-4.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,5.0,2.0,0.0,1.0,0.8660254037844386,0.5000000000000001
2024-02-13,1.0,-2.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,11.0,3.0,-1.0,2.0,5.0,-1.0,0.0,-1.0,-6.0,-3.0,-3.0,-2.0,2.0,-3.0,6.0,0.0,7.0,0.0,3.0,3.0,2.0,2.0,-11.0,0.0,0.0,-7.0,-14.0,4.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,2.0,2.0,0.0,1.0,1.0,2.0,-1.0,-3.0,0.0,-2.0,1.0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2024-02-14,3.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,1.0,0.0,5.0,13.0,-1.0,0.0,1.0,-2.0,-2.0,-2.0,-2.0,-18.0,2.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-4.0,0.0,-1.0,1.0,1.0,0.0,-5.0,2.0,-4.0,4.0,-17.0,3.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,2.0,2.0,4.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,6.0,1.0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
